threshold,n,tp,tn,fp,fn,accuracy,precision,recall,f1,average_time_seconds
0.0,40,21,0,19,0,0.525,0.525,1.0,0.6885245901639345,15.689382750000002
0.01,40,21,17,2,0,0.95,0.9130434782608695,1.0,0.9545454545454545,15.689382750000002
0.02,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.03,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.04,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.05,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.06,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.07,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.08,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.09,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.1,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.11,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.12,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.13,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.14,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.15,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.16,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.17,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.18,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.19,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.2,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.21,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.22,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.23,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.24,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.25,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.26,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.27,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.28,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.29,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.3,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.31,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.32,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.33,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.34,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.35,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.36,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.37,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.38,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.39,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.4,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.41,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.42,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.43,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.44,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.45,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.46,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.47,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.48,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.49,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.5,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.51,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.52,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.53,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.54,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.55,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.56,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.57,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.58,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.59,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.6,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.61,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.62,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.63,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.64,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.65,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.66,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.67,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.68,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.69,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.7,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.71,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.72,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.73,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.74,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.75,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.76,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.77,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.78,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.79,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.8,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.81,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.82,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.83,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.84,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.85,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.86,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.87,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.88,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.89,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.9,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.91,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.92,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.93,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.94,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.95,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.96,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.97,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.98,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
0.99,40,21,19,0,0,1.0,1.0,1.0,1.0,15.689382750000002
1.0,40,15,19,0,6,0.85,1.0,0.7142857142857143,0.8333333333333333,15.689382750000002
