threshold,n,tp,tn,fp,fn,accuracy,precision,recall,f1
0.0,67,34,0,33,0,0.5074626865671642,0.5074626865671642,1.0,0.6732673267326733
0.01,67,34,29,4,0,0.9402985074626866,0.8947368421052632,1.0,0.9444444444444444
0.02,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.03,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.04,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.05,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.06,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.07,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.08,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.09,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.1,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.11,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.12,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.13,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.14,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.15,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.16,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.17,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.18,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.19,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.2,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.21,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.22,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.23,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.24,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.25,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.26,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
0.27,67,34,30,3,0,0.9552238805970149,0.918918918918919,1.0,0.9577464788732394
